date,rank_ic,ic,top_bottom_spread,top_return,signal_coverage
2020-01-02,0.6000000000000001,0.13456622210185906,0.0019715533894486548,0.003600278530215828,0.0
2020-01-03,0.39999999999999997,0.9937711378109153,0.03811900327056983,0.035219493408765845,1.0
2020-01-06,0.7999999999999999,0.9028896676053597,0.004974191604284917,-0.0013087371759412658,0.75
2020-01-07,1.0,0.9988079972767727,0.02170293258500222,0.023752171307235947,0.0
2020-01-08,0.39999999999999997,0.6251000884209656,0.010100058596561934,0.009241467583764651,1.0
2020-01-09,1.0,0.9353819580434971,0.0032795200281314774,0.008087488822632993,0.75
2020-01-10,0.7999999999999999,0.8166480127833242,0.005883073759426871,0.004858597321082403,0.5
2020-01-13,0.39999999999999997,0.9654010067233705,0.027701145467650123,0.030015114888974237,0.0
2020-01-14,0.39999999999999997,0.9968856890658655,0.03698315980006961,0.03842595655985814,0.0
2020-01-15,1.0,0.9723112527870409,0.018191712545778005,0.003327614522501854,0.5
2020-01-16,0.7999999999999999,0.8768140403028751,0.05490386176032047,0.002569055883951732,0.0
2020-01-17,0.7999999999999999,0.9496506632579105,0.019987929823800155,0.006179867508030901,0.5
2020-01-21,1.0,0.9976584103452841,0.04351923425851001,0.041850713923977545,0.25
2020-01-22,1.0,0.9999076317701069,0.04007422269823868,0.04228329704167866,0.25
2020-01-23,-0.39999999999999997,-0.5927777006460915,-0.011803067110393362,-0.007180199791302688,0.5
2020-01-24,0.19999999999999998,0.8127175409375597,0.005938975847668337,0.0010246449797721713,0.5
2020-01-27,-0.19999999999999998,-0.6018007771685258,-0.014501809206088567,-0.022960954749402962,0.5
2020-01-28,-0.19999999999999998,-0.7059759609466933,-0.00694862982943123,0.0069919401746028065,0.25
2020-01-29,0.7999999999999999,0.6726141768266481,0.010017749495418116,0.010947365057763614,0.5
2020-01-30,0.7999999999999999,0.9483395501709247,0.10023734256454009,0.09544066550912633,0.0
2020-01-31,0.7999999999999999,0.6898957035211856,0.007813678885745357,0.0008111278501199415,0.0
2020-02-03,1.0,0.8768940853645683,0.052371170080050655,0.03050277823424441,0.75
2020-02-04,0.7999999999999999,0.9831478729010129,0.15095983380207967,0.11981308725813,0.0
2020-02-05,0.39999999999999997,0.9139141600847909,0.08656932565178177,0.004891297596751443,0.0
2020-02-06,-0.19999999999999998,-0.9050544008932658,-0.05082328191993746,-0.05049361958784626,0.0
2020-02-07,0.7999999999999999,0.5754344924378961,0.020333080894616606,-0.0007743924656863355,0.5
2020-02-10,1.0,0.9963403385694607,0.08769815130740677,0.07233852719418354,0.75
2020-02-11,0.19999999999999998,0.40838413472752116,0.006284088805696864,-0.001366485348654356,0.0
2020-02-12,0.0,0.28280837632583167,0.0013127498672900195,0.0011367792141545596,0.75
2020-02-13,-0.39999999999999997,-0.9906244735451638,-0.02396938871495502,-0.028545283577219638,0.25
2020-02-14,0.39999999999999997,0.8778450190182162,0.01836661075907431,-0.0038390929917722083,0.5
2020-02-18,1.0,0.9790019474113847,0.08147283526889071,0.055189183161373556,0.5
2020-02-19,0.39999999999999997,0.9975528860403646,0.07140571388107086,0.07269085870600822,0.25
2020-02-20,0.39999999999999997,0.838958196211064,0.002119420854995502,-0.0020695588221271155,0.0
2020-02-21,0.7999999999999999,0.9344093667940908,0.01519461392533672,0.012808982657955714,0.0
2020-02-24,1.0,0.9430965903220296,0.028090028267377054,-0.009716024459986206,0.25
